scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358240335000,completed,att-task-1777271358240335000-1,1,0,,att-task-1777271358240335000-1,1,completed,worker-large,,1777271358,1777271363,1777271365
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358242085000,completed,att-task-1777271358242085000-1,1,0,,att-task-1777271358242085000-1,1,completed,worker-large,,1777271358,1777271363,1777271367
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358243434000,completed,att-task-1777271358243434000-1,1,0,,att-task-1777271358243434000-1,1,completed,worker-large,,1777271358,1777271363,1777271367
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358244623000,completed,att-task-1777271358244623000-1,1,0,,att-task-1777271358244623000-1,1,completed,worker-medium,,1777271358,0,1777271362
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358245887000,completed,att-task-1777271358245887000-1,1,0,,att-task-1777271358245887000-1,1,completed,worker-large,,1777271358,1777271383,1777271384
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358247288000,completed,att-task-1777271358247288000-1,1,0,,att-task-1777271358247288000-1,1,completed,worker-medium,,1777271363,0,1777271367
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358248427000,completed,att-task-1777271358248427000-1,1,0,,att-task-1777271358248427000-1,1,completed,worker-small,,1777271358,0,1777271362
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358249480000,completed,att-task-1777271358249480000-1,1,0,,att-task-1777271358249480000-1,1,completed,worker-large,,1777271368,0,1777271372
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358250457000,completed,att-task-1777271358250457000-1,1,0,,att-task-1777271358250457000-1,1,completed,worker-medium,,1777271358,0,1777271362
baseline,RTS,RTS,heterogeneous-smoke,task-1777271358251599000,completed,att-task-1777271358251599000-1,1,0,,att-task-1777271358251599000-1,1,completed,worker-medium,,1777271368,0,1777271372
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388506030000,completed,att-task-1777271388506030000-1,1,0,,att-task-1777271388506030000-1,1,completed,worker-large,,1777271388,1777271393,1777271393
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388513081000,completed,att-task-1777271388513081000-1,1,0,,att-task-1777271388513081000-1,1,completed,worker-large,,1777271388,1777271393,1777271395
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388517896000,completed,att-task-1777271388517896000-1,1,0,,att-task-1777271388517896000-1,1,completed,worker-large,,1777271388,0,1777271392
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388522387000,completed,att-task-1777271388522387000-1,1,0,,att-task-1777271388522387000-1,1,completed,worker-medium,,1777271388,0,1777271392
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388528075000,completed,att-task-1777271388528075000-1,1,0,,att-task-1777271388528075000-1,1,completed,worker-large,,1777271388,0,1777271392
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388532613000,completed,att-task-1777271388532613000-1,1,0,,att-task-1777271388532613000-1,1,completed,worker-large,,1777271393,0,1777271397
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388539779000,completed,att-task-1777271388539779000-1,1,0,,att-task-1777271388539779000-1,1,completed,worker-medium,,1777271388,0,1777271392
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388549620000,completed,att-task-1777271388549620000-1,1,0,,att-task-1777271388549620000-1,1,completed,worker-medium,,1777271393,0,1777271397
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388553116000,completed,att-task-1777271388553116000-1,1,0,,att-task-1777271388553116000-1,1,completed,worker-small,,1777271388,0,1777271392
baseline,PPO,PPO,heterogeneous-smoke,task-1777271388557616000,completed,att-task-1777271388557616000-1,1,0,,att-task-1777271388557616000-1,1,completed,worker-large,,1777271398,1777271403,1777271404
burst,RTS,RTS,heterogeneous-smoke,task-1777271412798955000,completed,att-task-1777271412798955000-1,1,0,,att-task-1777271412798955000-1,1,completed,worker-large,,1777271413,0,1777271417
