scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879938307000,completed,att-task-1777727879938307000-1,1,0,,att-task-1777727879938307000-1,1,completed,worker-small,,1777727882,0,1777727886
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879941514000,completed,att-task-1777727879941514000-1,1,0,,att-task-1777727879941514000-1,1,completed,worker-large,,1777727882,1777727886,1777727886
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879944639000,completed,att-task-1777727879944639000-1,1,0,,att-task-1777727879944639000-1,1,completed,worker-large,,1777727887,0,1777727891
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879947784000,completed,att-task-1777727879947784000-1,1,0,,att-task-1777727879947784000-1,1,completed,worker-large,,1777727887,0,1777727891
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879951440000,completed,att-task-1777727879951440000-1,1,0,,att-task-1777727879951440000-1,1,completed,worker-medium,,1777727887,0,1777727891
baseline,RTS,RTS,heterogeneous-smoke,task-1777727879955310000,completed,att-task-1777727879955310000-1,1,0,,att-task-1777727879955310000-1,1,completed,worker-large,,1777727892,1777727896,1777727896
baseline,RTS,RTS,deterministic-full,task-1777727901261292000,completed,att-task-1777727901261292000-1,1,0,,att-task-1777727901261292000-1,1,completed,worker-large,,1777727902,0,1777727906
baseline,RTS,RTS,deterministic-full,task-1777727901267300000,completed,att-task-1777727901267300000-1,1,0,,att-task-1777727901267300000-1,1,completed,worker-large,,1777727902,1777727906,1777727906
baseline,RTS,RTS,deterministic-full,task-1777727901272041000,completed,att-task-1777727901272041000-1,1,0,,att-task-1777727901272041000-1,1,completed,worker-large,,1777727902,1777727906,1777727907
baseline,RTS,RTS,deterministic-full,task-1777727901274261000,completed,att-task-1777727901274261000-1,1,0,,att-task-1777727901274261000-1,1,completed,worker-large,,1777727902,1777727906,1777727907
baseline,RTS,RTS,deterministic-full,task-1777727901276530000,completed,att-task-1777727901276530000-1,1,0,,att-task-1777727901276530000-1,1,completed,worker-large,,1777727902,1777727906,1777727906
baseline,RTS,RTS,deterministic-full,task-1777727901279172000,completed,att-task-1777727901279172000-1,1,0,,att-task-1777727901279172000-1,1,completed,worker-small,,1777727902,1777727906,1777727907
baseline,RTS,RTS,deterministic-full,task-1777727901281125000,completed,att-task-1777727901281125000-1,1,0,,att-task-1777727901281125000-1,1,completed,worker-medium,,1777727902,1777727906,1777727906
baseline,RTS,RTS,deterministic-full,task-1777727901282908000,completed,att-task-1777727901282908000-1,1,0,,att-task-1777727901282908000-1,1,completed,worker-medium,,1777727902,1777727906,1777727907
baseline,RTS,RTS,deterministic-full,task-1777727901284730000,completed,att-task-1777727901284730000-1,1,0,,att-task-1777727901284730000-1,1,completed,worker-large,,1777727907,1777727911,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901286426000,completed,att-task-1777727901286426000-1,1,0,,att-task-1777727901286426000-1,1,completed,worker-large,,1777727907,1777727911,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901288248000,completed,att-task-1777727901288248000-1,1,0,,att-task-1777727901288248000-1,1,completed,worker-large,,1777727907,0,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901289924000,completed,att-task-1777727901289924000-1,1,0,,att-task-1777727901289924000-1,1,completed,worker-small,,1777727907,0,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901291741000,completed,att-task-1777727901291741000-1,1,0,,att-task-1777727901291741000-1,1,completed,worker-medium,,1777727907,0,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901293464000,completed,att-task-1777727901293464000-1,1,0,,att-task-1777727901293464000-1,1,completed,worker-medium,,1777727907,0,1777727911
baseline,RTS,RTS,deterministic-full,task-1777727901295011000,completed,att-task-1777727901295011000-1,1,0,,att-task-1777727901295011000-1,1,completed,worker-large,,1777727912,0,1777727916
baseline,RTS,RTS,deterministic-full,task-1777727901296916000,completed,att-task-1777727901296916000-1,1,0,,att-task-1777727901296916000-1,1,completed,worker-large,,1777727912,0,1777727916
baseline,RTS,RTS,deterministic-full,task-1777727901298449000,completed,att-task-1777727901298449000-1,1,0,,att-task-1777727901298449000-1,1,completed,worker-medium,,1777727912,0,1777727916
baseline,RTS,RTS,deterministic-full,task-1777727901300028000,completed,att-task-1777727901300028000-1,1,0,,att-task-1777727901300028000-1,1,completed,worker-large,,1777727917,0,1777727921
baseline,RTS,RTS,deterministic-full,task-1777727901301505000,completed,att-task-1777727901301505000-1,1,0,,att-task-1777727901301505000-1,1,completed,worker-large,,1777727917,0,1777727921
baseline,RTS,RTS,deterministic-full,task-1777727901303117000,completed,att-task-1777727901303117000-1,1,0,,att-task-1777727901303117000-1,1,completed,worker-medium,,1777727917,0,1777727921
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925805133000,completed,att-task-1777727925805133000-1,1,0,,att-task-1777727925805133000-1,1,completed,worker-large,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925810202000,completed,att-task-1777727925810202000-1,1,0,,att-task-1777727925810202000-1,1,completed,worker-large,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925813805000,completed,att-task-1777727925813805000-1,1,0,,att-task-1777727925813805000-1,1,completed,worker-large,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925818060000,completed,att-task-1777727925818060000-1,1,0,,att-task-1777727925818060000-1,1,completed,worker-medium,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925822102000,completed,att-task-1777727925822102000-1,1,0,,att-task-1777727925822102000-1,1,completed,worker-large,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925825421000,completed,att-task-1777727925825421000-1,1,0,,att-task-1777727925825421000-1,1,completed,worker-large,,1777727932,0,1777727936
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925828805000,completed,att-task-1777727925828805000-1,1,0,,att-task-1777727925828805000-1,1,completed,worker-medium,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925832164000,completed,att-task-1777727925832164000-1,1,0,,att-task-1777727925832164000-1,1,completed,worker-medium,,1777727932,0,1777727936
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925835924000,completed,att-task-1777727925835924000-1,1,0,,att-task-1777727925835924000-1,1,completed,worker-small,,1777727927,1777727931,1777727932
baseline,PPO,PPO,heterogeneous-smoke,task-1777727925840035000,completed,att-task-1777727925840035000-1,1,0,,att-task-1777727925840035000-1,1,completed,worker-large,,1777727937,0,1777727941
baseline,PPO,PPO,deterministic-full,task-1777727947097575000,completed,att-task-1777727947097575000-1,1,0,,att-task-1777727947097575000-1,1,completed,worker-large,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947101944000,completed,att-task-1777727947101944000-1,1,0,,att-task-1777727947101944000-1,1,completed,worker-large,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947104849000,completed,att-task-1777727947104849000-1,1,0,,att-task-1777727947104849000-1,1,completed,worker-large,,1777727947,0,1777727951
baseline,PPO,PPO,deterministic-full,task-1777727947107116000,completed,att-task-1777727947107116000-1,1,0,,att-task-1777727947107116000-1,1,completed,worker-large,,1777727947,0,1777727951
