scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,150,150,0,100.0,27.75,0.0,0.0,0.0,6
RTS,150,150,0,100.0,28.69,0.0,0.0,0.0,6
PPO,150,150,0,100.0,29.18,0.0,0.0,0.0,6
