scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,heterogeneous-smoke,task-1777208648908104172,completed,att-task-1777208648908104172-1,1,0,,att-task-1777208648908104172-1,1,completed,worker-large,,1777208651,1777208652,1777208656
baseline,RR,RR,heterogeneous-smoke,task-1777208648910003228,completed,att-task-1777208648910003228-1,1,0,,att-task-1777208648910003228-1,1,completed,worker-medium,,1777208651,1777208652,1777208657
baseline,RR,RR,heterogeneous-smoke,task-1777208648911412208,completed,att-task-1777208648911412208-1,1,0,,att-task-1777208648911412208-1,1,completed,worker-small,,1777208651,1777208652,1777208657
baseline,RR,RR,heterogeneous-smoke,task-1777208648912616198,completed,att-task-1777208648912616198-1,1,0,,att-task-1777208648912616198-1,1,completed,worker-large,,1777208651,1777208652,1777208656
baseline,RR,RR,heterogeneous-smoke,task-1777208648913653991,completed,att-task-1777208648913653991-1,1,0,,att-task-1777208648913653991-1,1,completed,worker-medium,,1777208651,1777208652,1777208656
baseline,RR,RR,heterogeneous-smoke,task-1777208648914443817,completed,att-task-1777208648914443817-1,1,0,,att-task-1777208648914443817-1,1,completed,worker-large,,1777208656,1777208657,1777208662
baseline,RR,RR,heterogeneous-smoke,task-1777208648915020229,completed,att-task-1777208648915020229-1,1,0,,att-task-1777208648915020229-1,1,completed,worker-large,,1777208651,1777208652,1777208657
baseline,RR,RR,heterogeneous-smoke,task-1777208648915580147,completed,att-task-1777208648915580147-1,1,0,,att-task-1777208648915580147-1,1,completed,worker-medium,,1777208661,1777208662,1777208666
baseline,RR,RR,heterogeneous-smoke,task-1777208648916148854,completed,att-task-1777208648916148854-1,1,0,,att-task-1777208648916148854-1,1,completed,worker-medium,,1777208651,1777208652,1777208657
baseline,RR,RR,heterogeneous-smoke,task-1777208648916669706,completed,att-task-1777208648916669706-1,1,0,,att-task-1777208648916669706-1,1,completed,worker-large,,1777208666,1777208667,1777208672
baseline,RR,RR,steady-cpu,task-1777208672997313214,completed,att-task-1777208672997313214-1,1,0,,att-task-1777208672997313214-1,1,completed,worker-large,,1777208676,1777208677,1777208681
baseline,RR,RR,steady-cpu,task-1777208673998809039,completed,att-task-1777208673998809039-1,1,0,,att-task-1777208673998809039-1,1,completed,worker-medium,,1777208676,1777208677,1777208681
baseline,RR,RR,steady-cpu,task-1777208675000902010,completed,att-task-1777208675000902010-1,1,0,,att-task-1777208675000902010-1,1,completed,worker-small,,1777208676,1777208677,1777208681
baseline,RR,RR,steady-cpu,task-1777208676002794690,completed,att-task-1777208676002794690-1,1,0,,att-task-1777208676002794690-1,1,completed,worker-large,,1777208676,1777208677,1777208681
baseline,RR,RR,steady-cpu,task-1777208677005029768,completed,att-task-1777208677005029768-1,1,0,,att-task-1777208677005029768-1,1,completed,worker-medium,,1777208681,1777208682,1777208686
baseline,RR,RR,steady-cpu,task-1777208678007081346,completed,att-task-1777208678007081346-1,1,0,,att-task-1777208678007081346-1,1,completed,worker-large,,1777208681,1777208682,1777208686
baseline,RR,RR,steady-cpu,task-1777208679009186206,completed,att-task-1777208679009186206-1,1,0,,att-task-1777208679009186206-1,1,completed,worker-medium,,1777208681,1777208682,1777208686
baseline,RR,RR,steady-cpu,task-1777208680011486952,completed,att-task-1777208680011486952-1,1,0,,att-task-1777208680011486952-1,1,completed,worker-large,,1777208686,1777208687,1777208691
baseline,RR,RR,steady-mixed,task-1777208692055995565,completed,att-task-1777208692055995565-1,1,0,,att-task-1777208692055995565-1,1,completed,worker-large,,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208692807569604,completed,att-task-1777208692807569604-1,1,0,,att-task-1777208692807569604-1,1,completed,worker-medium,,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208693559765645,failed,att-task-1777208693559765645-1,1,0,,att-task-1777208693559765645-1,1,failed,worker-small,container_failed,1777208696,1777208697,1777208700
baseline,RR,RR,steady-mixed,task-1777208694312063887,completed,att-task-1777208694312063887-1,1,0,,att-task-1777208694312063887-1,1,completed,worker-large,,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208695064580108,completed,att-task-1777208695064580108-1,1,0,,att-task-1777208695064580108-1,1,completed,worker-medium,,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208695816737666,failed,att-task-1777208695816737666-1,1,0,,att-task-1777208695816737666-1,1,failed,worker-large,container_failed,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208696569065650,completed,att-task-1777208696569065650-1,1,0,,att-task-1777208696569065650-1,1,completed,worker-medium,,1777208696,1777208697,1777208701
baseline,RR,RR,steady-mixed,task-1777208697321756314,completed,att-task-1777208697321756314-1,1,0,,att-task-1777208697321756314-1,1,completed,worker-small,,1777208701,1777208702,1777208706
baseline,RR,RR,memory-pressure,task-1777208709359793778,failed,att-task-1777208709359793778-1,1,0,,att-task-1777208709359793778-1,1,failed,worker-large,container_failed,1777208711,1777208712,1777208715
