scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,heterogeneous-smoke,task-1777204783062944223,completed,att-task-1777204783062944223-1,1,0,,att-task-1777204783062944223-1,1,completed,worker-large,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783064244211,completed,att-task-1777204783064244211-1,1,0,,att-task-1777204783064244211-1,1,completed,worker-large,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783065398738,completed,att-task-1777204783065398738-1,1,0,,att-task-1777204783065398738-1,1,completed,worker-large,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783066530582,completed,att-task-1777204783066530582-1,1,0,,att-task-1777204783066530582-1,1,completed,worker-medium,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783067401947,completed,att-task-1777204783067401947-1,1,0,,att-task-1777204783067401947-1,1,completed,worker-large,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783068278766,completed,att-task-1777204783068278766-1,1,0,,att-task-1777204783068278766-1,1,completed,worker-large,,1777204788,1777204791,1777204792
baseline,RR,RR,heterogeneous-smoke,task-1777204783069078056,completed,att-task-1777204783069078056-1,1,0,,att-task-1777204783069078056-1,1,completed,worker-medium,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783069883882,completed,att-task-1777204783069883882-1,1,0,,att-task-1777204783069883882-1,1,completed,worker-medium,,1777204788,1777204791,1777204792
baseline,RR,RR,heterogeneous-smoke,task-1777204783070661027,completed,att-task-1777204783070661027-1,1,0,,att-task-1777204783070661027-1,1,completed,worker-small,,1777204783,1777204786,1777204787
baseline,RR,RR,heterogeneous-smoke,task-1777204783071443313,completed,att-task-1777204783071443313-1,1,0,,att-task-1777204783071443313-1,1,completed,worker-large,,1777204793,1777204796,1777204797
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798126167642,completed,att-task-1777204798126167642-1,1,0,,att-task-1777204798126167642-1,1,completed,worker-large,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798127455508,completed,att-task-1777204798127455508-1,1,0,,att-task-1777204798127455508-1,1,completed,worker-large,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798128389175,completed,att-task-1777204798128389175-1,1,0,,att-task-1777204798128389175-1,1,completed,worker-large,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798129515661,completed,att-task-1777204798129515661-1,1,0,,att-task-1777204798129515661-1,1,completed,worker-medium,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798130329419,completed,att-task-1777204798130329419-1,1,0,,att-task-1777204798130329419-1,1,completed,worker-large,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798131100466,completed,att-task-1777204798131100466-1,1,0,,att-task-1777204798131100466-1,1,completed,worker-large,,1777204803,1777204806,1777204807
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798131871969,completed,att-task-1777204798131871969-1,1,0,,att-task-1777204798131871969-1,1,completed,worker-medium,,1777204798,1777204801,1777204802
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798132668280,completed,att-task-1777204798132668280-1,1,0,,att-task-1777204798132668280-1,1,completed,worker-medium,,1777204803,1777204806,1777204807
baseline,RTS,RTS,heterogeneous-smoke,task-1777204798133454670,completed,att-task-1777204798133454670-1,1,0,,att-task-1777204798133454670-1,1,completed,worker-small,,1777204798,1777204801,1777204802
