scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,scenarios_run
RR,50,50,0,100.0,30.16,3
RTS,50,50,0,100.0,26.16,3
PPO-pretrained,50,50,0,100.0,26.16,3
PPO-adapted,50,50,0,100.0,31.2,3
