scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501473329000,completed,att-task-1777272501473329000-1,1,0,,att-task-1777272501473329000-1,1,completed,worker-small,,1777272503,0,1777272506
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501476031000,completed,att-task-1777272501476031000-1,1,0,,att-task-1777272501476031000-1,1,completed,worker-medium,,1777272503,0,1777272507
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501478811000,completed,att-task-1777272501478811000-1,1,0,,att-task-1777272501478811000-1,1,completed,worker-medium,,1777272503,0,1777272506
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501481612000,completed,att-task-1777272501481612000-1,1,0,,att-task-1777272501481612000-1,1,completed,worker-large,,1777272503,0,1777272506
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501483677000,completed,att-task-1777272501483677000-1,1,0,,att-task-1777272501483677000-1,1,completed,worker-small,,1777272503,0,1777272506
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501485678000,completed,att-task-1777272501485678000-1,1,0,,att-task-1777272501485678000-1,1,completed,worker-large,,1777272503,0,1777272506
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501487598000,completed,att-task-1777272501487598000-1,1,0,,att-task-1777272501487598000-1,1,completed,worker-large,,1777272508,0,1777272511
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501489606000,completed,att-task-1777272501489606000-1,1,0,,att-task-1777272501489606000-1,1,completed,worker-large,,1777272508,0,1777272511
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501491659000,completed,att-task-1777272501491659000-1,1,0,,att-task-1777272501491659000-1,1,completed,worker-medium,,1777272508,0,1777272511
baseline,RTS,RTS,heterogeneous-smoke,task-1777272501493815000,completed,att-task-1777272501493815000-1,1,0,,att-task-1777272501493815000-1,1,completed,worker-medium,,1777272513,0,1777272516
baseline,RTS,RTS,steady-cpu,task-1777272522736069000,completed,att-task-1777272522736069000-1,1,0,,att-task-1777272522736069000-1,1,completed,worker-small,,1777272523,0,1777272526
baseline,RTS,RTS,steady-cpu,task-1777272523750378000,completed,att-task-1777272523750378000-1,1,0,,att-task-1777272523750378000-1,1,completed,worker-large,,1777272528,0,1777272531
baseline,RTS,RTS,steady-cpu,task-1777272524758810000,completed,att-task-1777272524758810000-1,1,0,,att-task-1777272524758810000-1,1,completed,worker-small,,1777272528,0,1777272531
baseline,RTS,RTS,steady-cpu,task-1777272525767287000,completed,att-task-1777272525767287000-1,1,0,,att-task-1777272525767287000-1,1,completed,worker-large,,1777272528,0,1777272531
baseline,RTS,RTS,steady-cpu,task-1777272526781351000,completed,att-task-1777272526781351000-1,1,0,,att-task-1777272526781351000-1,1,completed,worker-small,,1777272528,0,1777272531
baseline,RTS,RTS,steady-cpu,task-1777272527789957000,completed,att-task-1777272527789957000-1,1,0,,att-task-1777272527789957000-1,1,completed,worker-medium,,1777272528,0,1777272531
baseline,RTS,RTS,steady-cpu,task-1777272528803034000,completed,att-task-1777272528803034000-1,1,0,,att-task-1777272528803034000-1,1,completed,worker-large,,1777272533,1777272592,1777272595
baseline,RTS,RTS,steady-cpu,task-1777272529811306000,completed,att-task-1777272529811306000-1,1,0,,att-task-1777272529811306000-1,1,completed,worker-medium,,1777272533,0,1777272536
baseline,RTS,RTS,bursty,task-1777272599133371000,completed,att-task-1777272599133371000-1,1,0,,att-task-1777272599133371000-1,1,completed,worker-small,,1777272603,1777272607,1777272607
baseline,RTS,RTS,bursty,task-1777272599136117000,completed,att-task-1777272599136117000-1,1,0,,att-task-1777272599136117000-1,1,completed,worker-large,,1777272603,1777272607,1777272608
baseline,RTS,RTS,bursty,task-1777272599138341000,failed,att-task-1777272599138341000-1,1,0,,att-task-1777272599138341000-1,1,failed,worker-large,container_failed,1777272603,0,1777272606
baseline,RTS,RTS,bursty,task-1777272599140579000,completed,att-task-1777272599140579000-1,1,0,,att-task-1777272599140579000-1,1,completed,worker-medium,,1777272603,0,1777272606
baseline,RTS,RTS,bursty,task-1777272603148568000,completed,att-task-1777272603148568000-1,1,0,,att-task-1777272603148568000-1,1,completed,worker-large,,1777272608,1777272612,1777272613
baseline,RTS,RTS,bursty,task-1777272603151013000,completed,att-task-1777272603151013000-1,1,0,,att-task-1777272603151013000-1,1,completed,worker-medium,,1777272608,0,1777272611
baseline,RTS,RTS,bursty,task-1777272603154143000,completed,att-task-1777272603154143000-1,1,0,,att-task-1777272603154143000-1,1,completed,worker-large,,1777272608,0,1777272611
baseline,RTS,RTS,bursty,task-1777272607158527000,failed,att-task-1777272607158527000-1,1,0,,att-task-1777272607158527000-1,1,failed,worker-medium,container_failed,1777272608,0,1777272611
baseline,RTS,RTS,bursty,task-1777272607165381000,completed,att-task-1777272607165381000-1,1,0,,att-task-1777272607165381000-1,1,completed,worker-small,,1777272608,1777272622,1777272626
baseline,RTS,RTS,bursty,task-1777272607169398000,completed,att-task-1777272607169398000-1,1,0,,att-task-1777272607169398000-1,1,completed,worker-medium,,1777272613,0,1777272616
baseline,RTS,RTS,memory-pressure,task-1777272631381804000,failed,att-task-1777272631381804000-1,1,0,,att-task-1777272631381804000-1,1,failed,worker-large,container_failed,1777272633,0,1777272636
baseline,RTS,RTS,memory-pressure,task-1777272631890649000,failed,att-task-1777272631890649000-1,1,0,,att-task-1777272631890649000-1,1,failed,worker-large,container_failed,1777272633,1777272672,1777272677
baseline,RTS,RTS,memory-pressure,task-1777272632400745000,completed,att-task-1777272632400745000-1,1,0,,att-task-1777272632400745000-1,1,completed,worker-small,,1777272633,0,1777272636
baseline,RTS,RTS,memory-pressure,task-1777272632919560000,failed,att-task-1777272632919560000-1,1,0,,att-task-1777272632919560000-1,1,failed,worker-medium,container_failed,1777272633,0,1777272636
baseline,RTS,RTS,memory-pressure,task-1777272633440620000,completed,att-task-1777272633440620000-1,1,0,,att-task-1777272633440620000-1,1,completed,worker-large,,1777272638,0,1777272641
baseline,RTS,RTS,memory-pressure,task-1777272633946899000,failed,att-task-1777272633946899000-1,1,0,,att-task-1777272633946899000-1,1,failed,worker-medium,container_failed,1777272638,0,1777272641
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682224772000,completed,att-task-1777272682224772000-1,1,0,,att-task-1777272682224772000-1,1,completed,worker-large,,1777272683,0,1777272687
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682230746000,completed,att-task-1777272682230746000-1,1,0,,att-task-1777272682230746000-1,1,completed,worker-large,,1777272683,0,1777272686
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682234934000,completed,att-task-1777272682234934000-1,1,0,,att-task-1777272682234934000-1,1,completed,worker-large,,1777272683,1777272697,1777272698
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682238097000,completed,att-task-1777272682238097000-1,1,0,,att-task-1777272682238097000-1,1,completed,worker-medium,,1777272683,0,1777272686
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682240829000,completed,att-task-1777272682240829000-1,1,0,,att-task-1777272682240829000-1,1,completed,worker-large,,1777272683,0,1777272686
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682243963000,completed,att-task-1777272682243963000-1,1,0,,att-task-1777272682243963000-1,1,completed,worker-large,,1777272688,0,1777272691
baseline,PPO,PPO,heterogeneous-smoke,task-1777272682246958000,completed,att-task-1777272682246958000-1,1,0,,att-task-1777272682246958000-1,1,completed,worker-medium,,1777272683,0,1777272686
