scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,0,0,0,0.0,0.0,0.0,0.0,0.0,12
RTS,170,140,30,82.4,31.65,0.0,0.0,0.0,12
PPO,170,140,30,82.4,28.67,0.0,0.0,0.0,12
