scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,50,50,0,100.0,46.51,0.0,0.0,0.0,3
RTS,50,50,0,100.0,25.41,0.0,0.0,0.0,3
PPO,50,50,0,100.0,35.5,0.0,0.0,0.0,3
