scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,heterogeneous-smoke,task-1777278095571402000,completed,att-task-1777278095571402000-1,1,0,,att-task-1777278095571402000-1,1,completed,worker-large,,1777278099,0,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095573189000,completed,att-task-1777278095573189000-1,1,0,,att-task-1777278095573189000-1,1,completed,worker-medium,,1777278099,1777278103,1777278106
baseline,RR,RR,heterogeneous-smoke,task-1777278095574288000,completed,att-task-1777278095574288000-1,1,0,,att-task-1777278095574288000-1,1,completed,worker-small,,1777278099,0,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095575297000,completed,att-task-1777278095575297000-1,1,0,,att-task-1777278095575297000-1,1,completed,worker-large,,1777278099,0,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095576602000,completed,att-task-1777278095576602000-1,1,0,,att-task-1777278095576602000-1,1,completed,worker-medium,,1777278099,0,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095577875000,completed,att-task-1777278095577875000-1,1,0,,att-task-1777278095577875000-1,1,completed,worker-large,,1777278104,0,1777278108
baseline,RR,RR,heterogeneous-smoke,task-1777278095579038000,completed,att-task-1777278095579038000-1,1,0,,att-task-1777278095579038000-1,1,completed,worker-large,,1777278099,1777278103,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095580328000,completed,att-task-1777278095580328000-1,1,0,,att-task-1777278095580328000-1,1,completed,worker-medium,,1777278109,0,1777278113
baseline,RR,RR,heterogeneous-smoke,task-1777278095581709000,completed,att-task-1777278095581709000-1,1,0,,att-task-1777278095581709000-1,1,completed,worker-medium,,1777278099,0,1777278103
baseline,RR,RR,heterogeneous-smoke,task-1777278095582922000,completed,att-task-1777278095582922000-1,1,0,,att-task-1777278095582922000-1,1,completed,worker-large,,1777278109,0,1777278113
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116849981000,completed,att-task-1777278116849981000-1,1,0,,att-task-1777278116849981000-1,1,completed,worker-large,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116857278000,completed,att-task-1777278116857278000-1,1,0,,att-task-1777278116857278000-1,1,completed,worker-large,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116863125000,completed,att-task-1777278116863125000-1,1,0,,att-task-1777278116863125000-1,1,completed,worker-large,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116870632000,completed,att-task-1777278116870632000-1,1,0,,att-task-1777278116870632000-1,1,completed,worker-medium,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116873621000,completed,att-task-1777278116873621000-1,1,0,,att-task-1777278116873621000-1,1,completed,worker-large,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116875610000,completed,att-task-1777278116875610000-1,1,0,,att-task-1777278116875610000-1,1,completed,worker-large,,1777278124,1777278138,1777278143
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116877702000,completed,att-task-1777278116877702000-1,1,0,,att-task-1777278116877702000-1,1,completed,worker-medium,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116879681000,completed,att-task-1777278116879681000-1,1,0,,att-task-1777278116879681000-1,1,completed,worker-medium,,1777278124,0,1777278128
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116882548000,completed,att-task-1777278116882548000-1,1,0,,att-task-1777278116882548000-1,1,completed,worker-small,,1777278119,0,1777278123
baseline,RTS,RTS,heterogeneous-smoke,task-1777278116886081000,completed,att-task-1777278116886081000-1,1,0,,att-task-1777278116886081000-1,1,completed,worker-medium,,1777278129,1777278133,1777278136
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147190471000,completed,att-task-1777278147190471000-1,1,0,,att-task-1777278147190471000-1,1,completed,worker-large,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147192756000,completed,att-task-1777278147192756000-1,1,0,,att-task-1777278147192756000-1,1,completed,worker-large,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147194687000,completed,att-task-1777278147194687000-1,1,0,,att-task-1777278147194687000-1,1,completed,worker-large,,1777278149,1777278158,1777278160
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147196839000,completed,att-task-1777278147196839000-1,1,0,,att-task-1777278147196839000-1,1,completed,worker-medium,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147198616000,completed,att-task-1777278147198616000-1,1,0,,att-task-1777278147198616000-1,1,completed,worker-large,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147200768000,completed,att-task-1777278147200768000-1,1,0,,att-task-1777278147200768000-1,1,completed,worker-large,,1777278154,0,1777278158
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147202408000,completed,att-task-1777278147202408000-1,1,0,,att-task-1777278147202408000-1,1,completed,worker-medium,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147204566000,completed,att-task-1777278147204566000-1,1,0,,att-task-1777278147204566000-1,1,completed,worker-medium,,1777278154,1777278158,1777278159
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147206576000,completed,att-task-1777278147206576000-1,1,0,,att-task-1777278147206576000-1,1,completed,worker-small,,1777278149,0,1777278153
baseline,PPO,PPO,heterogeneous-smoke,task-1777278147208785000,completed,att-task-1777278147208785000-1,1,0,,att-task-1777278147208785000-1,1,completed,worker-large,,1777278159,0,1777278163
burst,RR,RR,heterogeneous-smoke,task-1777278168432567000,completed,att-task-1777278168432567000-1,1,0,,att-task-1777278168432567000-1,1,completed,worker-large,,1777278169,1777278178,1777278181
burst,RR,RR,heterogeneous-smoke,task-1777278168437130000,completed,att-task-1777278168437130000-1,1,0,,att-task-1777278168437130000-1,1,completed,worker-medium,,1777278169,1777278173,1777278173
burst,RR,RR,heterogeneous-smoke,task-1777278168440207000,completed,att-task-1777278168440207000-1,1,0,,att-task-1777278168440207000-1,1,completed,worker-small,,1777278169,0,1777278173
