scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,50,50,0,100.0,23.43,0.0,0.0,0.0,3
RTS,50,50,0,100.0,24.42,0.0,0.0,0.0,3
PPO,50,50,0,100.0,24.41,0.0,0.0,0.0,3
