scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,170,140,30,82.4,35.94,0.0,0.0,0.0,12
RTS,170,140,30,82.4,48.07,0.0,0.0,0.0,12
PPO,170,140,30,82.4,39.97,0.0,0.0,0.0,12
