scheduler,total_tasks,total_completed,total_failed,avg_success_rate,avg_duration_seconds,avg_queue_wait_seconds,avg_turnaround_seconds,p95_turnaround_seconds,scenarios_run
RR,50,40,10,80.0,20.92,0.0,0.0,0.0,3
RTS,50,40,10,80.0,20.92,0.0,0.0,0.0,3
PPO,50,40,10,80.0,20.93,0.0,0.0,0.0,3
